SMILES,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,C1SP2,C1SP3,C2SP2,C2SP3,C3SP2,C3SP3,ECCEN,fragC,khs.aaaC,khs.aaCH,khs.aaN,khs.aaNH,khs.aaO,khs.aasC,khs.ddsN,khs.ddssS,khs.dNH,khs.dO,khs.dsCH,khs.dsN,khs.dssC,khs.sBr,khs.sCH3,khs.sCl,khs.sF,khs.sNH2,khs.sOH,khs.ssCH2,khs.ssNH,khs.ssO,khs.ssS,khs.sssCH,khs.sssN,khs.ssssC,Kier1,Kier2,Kier3,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MDEO-11,MDEO-12,MDEO-22,PetitjeanNumber,SC-3,SC-4,SC-5,SC-6,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,SPC-4,SPC-5,SPC-6,TopoPSA,topoShape,VAdjMat,VC-3,VC-4,VC-5,VC-6,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,VPC-4,VPC-5,VPC-6,WPATH,WPOL,Zagreb
InChI%3D1S%2FC6H13NO3S%2Fc8-11%289%2C10%297-6-4-2-1-3-5-6%2Fh6-7H%2C1-5H2%2C%28H%2C8%2C9%2C10%29,0.22983606159687,-0.199945762753487,0.126803621649742,-0.0253921505063772,-0.0150663023814559,19.8111476898193,20.9488468170166,20.9859600067139,14.6682167053223,14.4983072280884,660.000671386719,706.84814453125,907.137756347656,643.481872558594,495.44091796875,0,0,0,6,0,0,103,466.049987792969,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,5,1,0,0,1,0,0,9.09090900421143,3.59999990463257,3.78698229789734,0,0,0,0,6.08364343643188,3.04182171821594,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0.5,1.76478433609009,0.353553384542465,0,0,0,0,0,0.102062076330185,0.0721687823534012,8.31999111175537,5.07829809188843,5.26882028579712,2.62579250335693,2.25728917121887,1.57320654392242,0.679412364959717,0.378354996442795,1.00310969352722,1.82685959339142,2.03098368644714,74.7799987792969,1,4.45943164825439,0.439539194107056,0.0323152802884579,0,0,0,0,0,0.102062076330185,0.0510310381650925,6.74370431900024,4.63450241088867,3.59427690505981,2.2754909992218,1.80025029182434,1.25003123283386,0.450892895460129,0.246660634875298,0.462400943040848,0.758583724498749,0.779020667076111,160,10,52
InChI%3D1S%2FC7H3Cl5O%2Fc1-13-7-5%2811%293%289%292%288%294%2810%296%287%2912%2Fh1H3,0.433054327964783,-0.089167982339859,-0.184420570731163,-0.0211005117744207,0.028040973469615,52.3382377624512,23.4228706359863,39.1815567016602,79.8965454101562,66.7092361450195,1081.01147460938,1252.58203125,1754.67395019531,1777.88549804688,1010.91735839844,0,0,0,6,0,0,117,100.059997558594,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,11.0769233703613,4.02216053009033,1.77514791488647,0,0,1.78549027442932,0,0,0,0,9.12546539306641,0,0,0,0,0,0,0,0,0,0,0,0.333333343267441,1.09833323955536,0,0.601579308509827,0,0,0,0,0.0370370373129845,0.211374327540398,10.1712083816528,6.00210618972778,5.36768674850464,5.13947534561157,3.43868207931519,1.98532402515411,1.01792728900909,0.34362655878067,3.48826050758362,5.19171476364136,7.23896408081055,9.22999954223633,0.5,4.70043992996216,0.759714424610138,0,0.379292339086533,0,0,0,0,0.015625,0.0949643030762672,10.0777149200439,4.947105884552,3.99298191070557,3.61572241783142,2.03931617736816,1.01965808868408,0.462954044342041,0.136512726545334,2.32791471481323,3.11297369003296,3.9619312286377,220,23,64
InChI%3D1S%2FC8H6N4O4S%2Fc13-4-9-11-8-10-5%283-17-8%296-1-2-7%2816-6%2912%2814%2915%2Fh1-4H%2C%28H%2C9%2C13%29%28H%2C10%2C11%29,0.490651518106461,-0.26998382806778,-0.0687616541981697,0.266496360301971,-0.261955767869949,27.6655807495117,24.6336917877197,34.6294898986816,28.6263103485107,28.0518188476562,940.749633789062,1084.03588867188,1453.76782226562,1123.6640625,1042.0419921875,0,2,0,4,0,0,292,304.089996337891,0,3,1,0,1,4,1,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13.4320983886719,6.25,3.48444437980652,0,0,0,0,1.55034387111664,6.06319618225098,0,2.52506470680237,0,0,0,0,0,1.65096366405487,0.458566069602966,0,0.481411129236221,0.721124768257141,0,0.454545468091965,1.03745746612549,0,0.25,0,0,0,0.235702261328697,0.287457466125488,0.474854648113251,12.2507123947144,8.20270824432373,7.15861511230469,5.67093706130981,4.38314771652222,3.01582217216492,2.28707909584045,1.37520980834961,2.32489705085754,3.03617382049561,3.48097133636475,144.710006713867,0.833333313465118,5.08746290206909,0.35037836432457,0,0.0239986199885607,0,0,0,0.113077633082867,0.111281804740429,0.113859154284,9.04774475097656,5.20305967330933,3.64736795425415,2.49326467514038,1.73439431190491,0.934232831001282,0.554020643234253,0.299924612045288,0.644113481044769,0.842595636844635,0.737662374973297,578,20,84
InChI%3D1S%2FC6H12N2O%2Fc9-7-8-5-3-1-2-4-6-8%2Fh1-6H2,0.058386106044054,-0.0322696194052696,0.029028968885541,-0.0205108150839806,-0.00502320751547813,10.4944448471069,10.2458248138428,11.218207359314,12.3289251327515,4.99655437469482,392.864410400391,410.619842529297,453.736053466797,475.236450195312,118.212493896484,0,2,0,4,0,0,70,369.029998779297,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,7.11111116409302,3.92000007629395,2.38016533851624,0,0,0,0,8.25481796264648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.400000005960464,0.20412415266037,0,0,0,0,0,0,0,0,6.52709770202637,4.43185186386108,3.26583743095398,2.55209517478943,1.77216470241547,1.23017168045044,0.853643178939819,0.246399641036987,0.492799282073975,0.594861328601837,0.492799282073975,32.6699981689453,0.666666686534882,4.16992521286011,0.100000001490116,0,0,0,0,0,0,0,0,5.54531621932983,3.51502966880798,2.44952630996704,1.69792556762695,1.13564145565033,0.757076680660248,0.502847373485565,0.0788675099611282,0.182246178388596,0.207735031843185,0.182246178388596,88,11,38
InChI%3D1S%2FC5H4O2%2Fc6-4-5-2-1-3-7-5%2Fh1-4H,0.315179973840714,-0.123790875077248,-0.113162949681282,0.13036136329174,-0.0509975180029869,8.54893779754639,7.99627590179443,9.32836818695068,5.10656118392944,2.66418385505676,216.849029541016,229.107192993164,260.798461914062,100.654312133789,39.8707580566406,1,1,0,3,0,0,44,79.0199966430664,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14285707473755,2.34375,1.1851851940155,0,0,0,0,3.30192732810974,2.82842707633972,0,0,0,0,0,0,0,0,0,0,0,0.333333343267441,0,0.5,0.20412415266037,0,0,0,0,0,0.144337564706802,0.102062076330185,0.102062076330185,5.11288404464722,3.4318516254425,2.55873084068298,2.05209517478943,1.41861128807068,0.492799282073975,0.20412415266037,0,0.492799282073975,0.594861328601837,0.20412415266037,30.2099990844727,1,3.80735492706299,0.0680413842201233,0,0,0,0,0,0.039283711463213,0.0226804614067078,0.00925925932824612,3.62589764595032,1.91954565048218,1.13327074050903,0.659336924552917,0.358319312334061,0.084078885614872,0.0185185186564922,0,0.106345199048519,0.100116394460201,0.0185185186564922,43,4,30
InChI%3D1S%2FC6H8N2%2Fc7-8-6-4-2-1-3-5-6%2Fh1-5%2C8H%2C7H2,0.0228876415640116,-0.00470129027962685,-0.00561533635482192,-0.00105378148145974,-7.14888956281357e-05,8.7199764251709,8.52617359161377,9.49855613708496,7.66474103927612,3.4985556602478,358.678344726562,374.542022705078,420.941925048828,301.018035888672,107.514770507812,0,0,0,6,0,0,60,200.020004272461,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6.125,3.11111116409302,1.79999995231628,0,0,0,0,6.08364343643188,3.04182171821594,0,0,0,0,0,1,0,0,0,0,0,0,0,0.400000005960464,0.20412415266037,0,0,0,0,0,0,0.102062076330185,0.0721687823534012,5.81999111175537,3.9318516254425,2.91228413581848,2.30209517478943,1.59538793563843,1.10517168045044,0.348461717367172,0.144337564706802,0.492799282073975,0.594861328601837,0.492799282073975,38.0499992370605,0.666666686534882,4,0.0833333358168602,0,0,0,0,0,0,0.0320750139653683,0.0160375069826841,4.46410179138184,2.44935870170593,1.51036298274994,0.940455734729767,0.534377872943878,0.303561210632324,0.0641500279307365,0.0185185186564922,0.144337564706802,0.138888895511627,0.0962250456213951,64,7,34
InChI%3D1S%2FC2H4Br2%2Fc3-1-2-4%2Fh1-2H2,0.0663592517375946,-0.0165898129343987,-0.0331796258687973,0.0165898129343987,0,90.5161819458008,14.3053512573242,13.3053512573242,44.2580909729004,0,231.67333984375,184.801040649414,111.886520385742,42.9221534729004,0,0,2,0,0,0,0,14,37.0200004577637,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333343267441,0,0,0,0,0,0,0,0,0,3.41421365737915,1.91421353816986,1,0.5,0,0,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,5.34213542938232,3.27746033668518,1.96396100521088,1.92857146263123,0,0,0,0,0,0,0,10,1,10
InChI%3D1S%2FC14H9Cl5O%2Fc15-11-5-1-9%282-6-11%2913%2820%2C14%2817%2C18%2919%2910-3-7-12%2816%298-4-10%2Fh1-8%2C20H,0.292380005121231,-0.0997495949268341,-0.0886950492858887,0.0762806907296181,0.0340955592691898,59.3382377624512,31.0907783508301,69.7966995239258,64.6417007446289,60.6526908874512,1788.92126464844,2118.89111328125,3077.27563476562,3252.53540039062,2800.99780273438,0,1,0,10,0,3,301,520.059997558594,0,8,0,0,,4,0,,0,0,0,0,0,,0,,,0,1,0,0,,,0,0,2,16.3718814849854,6.01171875,3.27662110328674,0,0,0,0,8.69190216064453,12.3619976043701,5.49271249771118,1.53261888027191,3.18108296394348,1,0,0,0,0,0,0,0,0,0,0.5,2.65470051765442,0.333333343267441,1.51036298274994,0.705341815948486,0,0,0,0.16666667163372,0.25,14.9662551879883,9.24803733825684,9.4462833404541,7.34388542175293,5.27759647369385,4.07032012939453,2.62091851234436,1.85684418678284,5.67183017730713,8.12655830383301,11.0436019897461,20.2299995422363,1,5.32192802429199,2.46805334091187,0.392416596412659,0.788515388965607,0.380554795265198,0,0,0,0.0555555559694767,0.0907718539237976,13.7354831695557,7.45107460021973,7.37605953216553,4.25868463516235,2.78280520439148,1.83735752105713,1.0295535326004,0.785712778568268,3.2610764503479,4.27517080307007,5.03488159179688,744,35,106
InChI%3D1S%2FC9H8Cl3NO2S%2Fc10-9%2811%2C12%2916-13-7%2814%295-3-1-2-4-6%285%298%2813%2915%2Fh1-2%2C5-6H%2C3-4H2,0.43500217795372,-0.228622242808342,0.0984530672430992,-0.0228299684822559,-0.199142158031464,47.1749382019043,27.6350154876709,75.3890151977539,42.1041107177734,39.1493873596191,1417.59130859375,1673.32006835938,2364.078125,2060.90991210938,1696.76635742188,2,0,2,2,0,2,183,385.070007324219,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,3,0,0,0,2,0,0,1,2,1,1,12.4567470550537,4.34911251068115,2.48828125,0,0,0,0,3.96540641784668,6.87156677246094,0.730296730995178,4.24264049530029,1.15470051765442,0,0,0,0,0,0,0,0.25,0,0,0.428571432828903,2.35380864143372,0.353553384542465,0.36982524394989,0,0,0,0.0641500279307365,0.347716152667999,0.615596115589142,11.9222850799561,7.39966535568237,7.7590389251709,5.42431783676147,4.68657207489014,3.92355966567993,2.06961703300476,1.42892241477966,3.06982517242432,5.29395484924316,8.15641498565674,62.6800003051758,0.75,5,3.56898164749146,0.892755091190338,0.149249538779259,0,0,0,0.0372678004205227,0.184332758188248,0.278502225875854,11.1137495040894,6.59340715408325,7.77732419967651,4.03246784210205,3.24216198921204,2.48183035850525,1.46552443504333,0.995282053947449,2.3341372013092,3.6075336933136,4.68471479415894,405,24,86
InChI%3D1S%2FC6H7N3O%2Fc7-9-6%2810%295-1-3-8-4-2-5%2Fh1-4H%2C7H2%2C%28H%2C9%2C10%29,0.209860280156136,-0.0888102501630783,0.00893210247159004,0.0151965189725161,-0.111980997025967,11.8544330596924,11.1906356811523,13.5502986907959,12.8823909759521,8.49511051177979,432.977661132812,464.920684814453,551.614440917969,459.339813232422,255.407836914062,1,2,0,2,0,1,90,199.039993286133,0,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,8.10000038146973,4,2.28571438789368,0,0,0,0,3.30192732810974,4.29827976226807,0,1,0,0,0,0.816496610641479,0,0.200000002980232,0,0,0,0,0,0.5,0.402368932962418,0,0.117851130664349,0,0,0,0,0.102062076330185,0.0589255653321743,7.39734125137329,4.8425350189209,3.78362226486206,3.09851837158203,2.03653573989868,1.41711032390594,0.569035589694977,0.319035589694977,1.08925569057465,1.33925569057465,1.37377345561981,68.0100021362305,1,4.32192802429199,0.134364366531372,0,0.0170103460550308,0,0,0,0,0.0248451996594667,0.0124225998297334,5.24221324920654,2.75321388244629,1.70935046672821,1.07360363006592,0.586622178554535,0.307913690805435,0.0854465588927269,0.034988209605217,0.260300755500793,0.250304788351059,0.180872112512589,121,11,44
