SMILES,nAtomP,nAtom,MLogP,nB,ALogP,LipinksiFailures,naAromAtom,nRotB,XLogP,LipinskiFailures,AMR,nHBDon,ALogp2,nAtomLAC,nAromBond,nAtomLC
InChI%3D1S%2FC11H10N6O5%2Fc1-5%2818%2912-10-14-9%2815-11%2816-10%2913-6%282%2919%297-3-4-8%2822-7%2917%2820%2921%2Fh3-4H%2C1-2H3%2C%28H2%2C12%2C13%2C14%2C15%2C16%2C18%2C19%29, 20.0, 32.0, 1.46000003814697, 23.0, -0.344099998474121, , 11.0, 4.0, 1.70799994468689, 0.0, 32.3064994812012, 2.0, 0.118404813110828, 2.0, 11.0, 4.0
InChI%3D1S%2FC6H14N2O%2Fc1-5%282%297-8%289%296%283%294%2Fh5-6H%2C1-4H3, 3.0, 23.0, 1.78999996185303, 8.0, -0.654399991035461, , 0.0, 2.0, 1.39400005340576, 0.0, 34.1467018127441, 0.0, 0.428239345550537, 3.0, 0.0, 9.0
InChI%3D1S%2FC5H10ClN3O3%2Fc6-1-2-7-5%2811%299%288-12%293-4-10%2Fh10H%2C1-4H2%2C%28H%2C7%2C11%29, 6.0, 22.0, 1.24000000953674, 11.0, 0.429199993610382, , 0.0, 6.0, -0.291000008583069, 0.0, 43.9767990112305, 2.0, 0.184212639927864, 2.0, 0.0, 12.0
InChI%3D1S%2FC10H9Cl4NO2S%2Fc11-9%2812%2910%2813%2C14%2918-15-7%2816%295-3-1-2-4-6%285%298%2815%2917%2Fh1-2%2C5-6%2C9H%2C3-4H2, 5.0, 27.0, 1.67999994754791, 19.0, 2.72370004653931, , 0.0, 3.0, 2.76999998092651, 0.0, 77.7978973388672, 0.0, 7.41854190826416, 2.0, 0.0, 7.0
InChI%3D1S%2FC10H9N%2Fc11-10-6-5-8-3-1-2-4-9%288%297-10%2Fh1-7H%2C11H2, 11.0, 20.0, 2.45000004768372, 12.0, -0.749899983406067, , 10.0, 0.0, 3.8529999256134, 0.0, 4.22209978103638, 1.0, 0.562350034713745, 0.0, 11.0, 0.0
InChI%3D1S%2FC16H12N2O%2Fc19-15-11-10-12-6-4-5-9-14%2812%2916%2815%2918-17-13-7-2-1-3-8-13%2Fh1-11%2C19H%2Fb18-17%2B, 19.0, 31.0, 2.89000010490417, 21.0, -0.460299998521805, , 16.0, 2.0, 6.59100008010864, 1.0, 2.56459999084473, 1.0, 0.211876094341278, 0.0, 17.0, 2.0
InChI%3D1S%2FC6H14NO4P%2Fc1-9-12%288%2C10-2%297-3-5-11-6-4-7%2Fh3-6H2%2C1-2H3, 5.0, 26.0, 1.46000003814697, 12.0, -0.545499980449677, , 0.0, 3.0, -1.04700005054474, 0.0, 44.0197982788086, 0.0, 0.297570258378983, 0.0, 0.0, 6.0
InChI%3D1S%2FC10H12N4O5%2Fc15-6-5-12-3-4-13%2810%2812%2916%2911-7-8-1-2-9%2819-8%2914%2817%2918%2Fh1-2%2C7%2C15H%2C3-6H2%2Fb11-7-, 14.0, 31.0, 1.57000005245209, 20.0, -1.27649998664856, , 5.0, 5.0, 0.437000006437302, 0.0, 43.4118995666504, 1.0, 1.62945222854614, 2.0, 5.0, 3.0
InChI%3D1S%2FC8H6O%2Fc1-2-4-8-7%283-1%295-6-9-8%2Fh1-6H, 7.0, 15.0, 2.23000001907349, 10.0, -0.154100000858307, , 6.0, 0.0, 2.64599990844727, 0.0, 1.61909997463226, 0.0, 0.0237468108534813, 0.0, 10.0, 0.0
InChI%3D1S%2FC18H12O6%2Fc1-21-11-7-12-13%288-5-6-22-18%288%2924-12%2917-15%2811%2916%2820%2914-9%2819%293-2-4-10%2814%2923-17%2Fh2-8%2C18-19H%2C1H3, 18.0, 36.0, 2.77999997138977, 28.0, -1.46529996395111, , 12.0, 1.0, 1.72200000286102, 0.0, 35.6242980957031, 1.0, 2.14710402488708, 0.0, 12.0, 2.0
InChI%3D1S%2FC10H13N3O2%2Fc1-13%2812-15%297-3-5-10%2814%299-4-2-6-11-8-9%2Fh2%2C4%2C6%2C8H%2C3%2C5%2C7H2%2C1H3, 8.0, 28.0, 2.00999999046326, 15.0, -0.51690000295639, , 6.0, 6.0, 0.605000019073486, 0.0, 31.8728008270264, 0.0, 0.267185598611832, 4.0, 6.0, 9.0
InChI%3D1S%2FC8H14ClNS2%2Fc1-4-10%285-2%298%2811%2912-6-7%283%299%2Fh3-6H2%2C1-2H3, 3.0, 26.0, 1.89999997615814, 11.0, 3.16650009155273, , 0.0, 6.0, 2.74499988555908, 0.0, 62.7835998535156, 0.0, 10.0267219543457, 3.0, 0.0, 12.0
InChI%3D1S%2FC7H10N2.2ClH%2Fc1-5-2-3-6%288%294-7%285%299%3B%3B%2Fh2-4H%2C8-9H2%2C1H3%3B2%2A1H, 8.0, 23.0, 1.78999996185303, 9.0, -0.857800006866455, , 6.0, 0.0, 1.87199997901917, 0.0, 13.9462995529175, 2.0, 0.735820829868317, 0.0, 6.0, 0.0
InChI%3D1S%2FC20H14N2O10S3.3Na%2Fc23-16-7-5-11-9-12%2833%2824%2C25%2926%2910-18%2835%2830%2C31%2932%2919%2811%2920%2816%2922-21-15-6-8-17%2834%2827%2C28%2929%2914-4-2-1-3-13%2814%2915%3B%3B%3B%2Fh1-10%2C23H%2C%28H%2C24%2C25%2C26%29%28H%2C27%2C28%2C29%29%28H%2C30%2C31%2C32%29%3B%3B%3B%2Fq%3B3%2A%2B1%2Fp-3%2Fb22-21%2B%3B%3B%3B, 35.0, 49.0, 1.67999994754791, 38.0, , , 20.0, 5.0, 1.85800004005432, 1.0, , 1.0, , 0.0, 22.0, 3.0
InChI%3D1S%2FC2H6O%2Fc1-2-3%2Fh3H%2C2H2%2C1H3, 0.0, 9.0, 1.57000005245209, 2.0, -0.107600003480911, , 0.0, 0.0, -0.0759999975562096, 0.0, 12.555100440979, 1.0, 0.0115777598693967, 2.0, 0.0, 3.0
InChI%3D1S%2FC13H14N2.2ClH%2Fc14-12-5-1-10%282-6-12%299-11-3-7-13%2815%298-4-11%3B%3B%2Fh1-8H%2C9%2C14-15H2%3B2%2A1H, 7.0, 33.0, 2.45000004768372, 16.0, -1.04359996318817, , 12.0, 2.0, 4.71500015258789, 0.0, 13.0452003479004, 2.0, 1.08910095691681, 0.0, 12.0, 0.0
InChI%3D1S%2FC32H24N6O14S4.4Na%2Fc33-23-13-21%2853%2841%2C42%2943%299-17-11-25%2855%2847%2C48%2949%2929%2831%2839%2927%2817%2923%2937-35-19-5-1-15%282-6-19%2916-3-7-20%288-4-16%2936-38-30-26%2856%2850%2C51%2952%2912-18-10-22%2854%2844%2C45%2946%2914-24%2834%2928%2818%2932%2830%2940%3B%3B%3B%3B%2Fh1-14%2C39-40H%2C33-34H2%2C%28H%2C41%2C42%2C43%29%28H%2C44%2C45%2C46%29%28H%2C47%2C48%2C49%29%28H%2C50%2C51%2C52%29%3B%3B%3B%3B%2Fq%3B4%2A%2B1%2Fp-4%2Fb37-35-%2C38-36%2B%3B%3B%3B%3B, 56.0, 80.0, 1.89999997615814, 61.0, , , 32.0, 9.0, 1.89999997615814, 1.0, , 4.0, , 0.0, 34.0, 3.0
InChI%3D1S%2FC5H11Cl2N%2Fc1-8%284-2-6%295-3-7%2Fh2-5H2%2C1H3, 0.0, 19.0, 1.67999994754791, 7.0, 1.65050005912781, , 0.0, 4.0, 1.59300005435944, 0.0, 38.6747016906738, 0.0, 2.72415018081665, 2.0, 0.0, 8.0
InChI%3D1S%2FC6H13NO%2Fc1-4-7%285-2%296%283%298%2Fh4-5H2%2C1-3H3, 3.0, 21.0, 1.89999997615814, 7.0, 0.0804999992251396, , 0.0, 3.0, 0.698000013828278, 0.0, 32.8469009399414, 0.0, 0.00648025004193187, 2.0, 0.0, 8.0
InChI%3D1S%2FC8H10O%2Fc1-7%289%298-5-3-2-4-6-8%2Fh2-7%2C9H%2C1H3, 6.0, 19.0, 2.23000001907349, 9.0, -0.459399998188019, , 6.0, 1.0, 2.86899995803833, 0.0, 11.8612003326416, 1.0, 0.211048364639282, 2.0, 6.0, 3.0
InChI%3D1S%2FC2H4Cl2O%2Fc3-1-5-2-4%2Fh1-2H2, 0.0, 9.0, 1.35000002384186, 4.0, 0.924300014972687, , 0.0, 2.0, 0.833999991416931, 0.0, 22.2912998199463, 0.0, 0.854330480098724, 0.0, 0.0, 5.0
InChI%3D1S%2FC12H10N2O%2Fc15-14-12-8-6-11%287-9-12%2913-10-4-2-1-3-5-10%2Fh1-9%2C13H, 15.0, 25.0, 2.45000004768372, 16.0, -0.443699985742569, , 12.0, 3.0, 4.23400020599365, 0.0, 4.74289989471436, 1.0, 0.196869686245918, 0.0, 12.0, 2.0
InChI%3D1S%2FC4H10N2O2%2Fc1-6%285-8%293-2-4-7%2Fh7H%2C2-4H2%2C1H3, 3.0, 18.0, 1.46000003814697, 7.0, -0.736599981784821, , 0.0, 4.0, -0.625999987125397, 0.0, 29.2544002532959, 1.0, 0.542579531669617, 3.0, 0.0, 8.0
InChI%3D1S%2FC6H10N2O3%2Fc1-5%289%293-8%287-11%294-6%282%2910%2Fh3-4H2%2C1-2H3, 3.0, 21.0, 1.57000005245209, 10.0, -1.02520000934601, , 0.0, 5.0, -0.981000006198883, 0.0, 39.3218994140625, 0.0, 1.05103504657745, 3.0, 0.0, 11.0
InChI%3D1S%2FC20H14N2O10S3.3Na%2Fc23-20-18%2835%2830%2C31%2932%2910-11-9-12%2833%2824%2C25%2926%295-6-13%2811%2919%2820%2922-21-16-7-8-17%2834%2827%2C28%2929%2915-4-2-1-3-14%2815%2916%3B%3B%3B%2Fh1-10%2C23H%2C%28H%2C24%2C25%2C26%29%28H%2C27%2C28%2C29%29%28H%2C30%2C31%2C32%29%3B%3B%3B%2Fq%3B3%2A%2B1%2Fp-3%2Fb22-21%2B%3B%3B%3B, 35.0, 49.0, 1.67999994754791, 38.0, , , 20.0, 5.0, 3.14499998092651, 1.0, , 1.0, , 0.0, 22.0, 3.0
InChI%3D1S%2FC5H3Cl3O3%2Fc6-2-1%283%287%298%294%289%2911-5%282%2910%2Fh3-4%2C9H, 5.0, 14.0, 1.35000002384186, 11.0, 1.4213000535965, , 0.0, 1.0, 0.917999982833862, 0.0, 41.2304000854492, 1.0, 2.0200936794281, 0.0, 0.0, 2.0
InChI%3D1S%2FC7H5N3O3S%2Fc8-7-9-4%283-14-7%295-1-2-6%2813-5%2910%2811%2912%2Fh1-3H%2C%28H2%2C8%2C9%29, 8.0, 21.0, 1.46000003814697, 15.0, 0.392899990081787, , 5.0, 2.0, 1.60199999809265, 0.0, 29.1082000732422, 2.0, 0.154370412230492, 0.0, 5.0, 2.0
InChI%3D1S%2FC8H11NO%2Fc1-6-5-7%2810-2%293-4-8%286%299%2Fh3-5H%2C9H2%2C1-2H3, 8.0, 21.0, 2.11999988555908, 10.0, -0.159700006246567, , 6.0, 1.0, 1.43400001525879, 0.0, 17.0400009155273, 1.0, 0.0255040898919106, 0.0, 6.0, 2.0
InChI%3D1S%2FC8H14ClN5%2Fc1-4-10-7-12-6%289%2913-8%2814-7%2911-5%282%293%2Fh5H%2C4H2%2C1-3H3%2C%28H2%2C10%2C11%2C12%2C13%2C14%29, 7.0, 30.0, 1.67999994754791, 14.0, 0.658900022506714, , 0.0, 2.0, 2.18400001525879, 0.0, 54.185001373291, 3.0, 0.434149205684662, 2.0, 0.0, 4.0
InChI%3D1S%2FC6H12N2O3%2Fc1-8%282%297-5%289%293-4-6%2810%2911%2Fh3-4H2%2C1-2H3%2C%28H%2C7%2C9%29%28H%2C10%2C11%29, 4.0, 23.0, 1.57000005245209, 10.0, -0.034000001847744, , 0.0, 4.0, -0.247999995946884, 0.0, 39.0854988098145, 2.0, 0.00115599995478988, 4.0, 0.0, 11.0
InChI%3D1S%2FC6H9N3O3%2Fc1-5-7-4-6%289%2811%2912%298%285%292-3-10%2Fh4%2C10H%2C2-3H2%2C1H3, 2.0, 21.0, 1.46000003814697, 12.0, -0.419200003147125, , 0.0, 3.0, 0.017000000923872, 0.0, 23.6714992523193, 2.0, 0.175728633999825, 2.0, 5.0, 3.0
InChI%3D1S%2FC4H8N2O2%2Fc1-4%287%293-6%282%295-8%2Fh3H2%2C1-2H3, 3.0, 16.0, 1.46000003814697, 7.0, -0.467200011014938, , 0.0, 3.0, -0.628000020980835, 0.0, 29.6861991882324, 0.0, 0.218275845050812, 3.0, 0.0, 8.0
InChI%3D1S%2FC7H16N4O2.HNO2%2Fc1-4-8-7%2812%2911%289-13%296-5-10%282%293%3B2-1-3%2Fh4-6H2%2C1-3H3%2C%28H%2C8%2C12%29%3B%28H%2C2%2C3%29, 6.0, 33.0, 1.24000000953674, 14.0, -1.50559997558594, , 0.0, 6.0, 0.186000004410744, 0.0, 58.3931999206543, 2.0, 2.26683139801025, 2.0, 0.0, 13.0
InChI%3D1S%2FC14H9NO2%2Fc15-8-5-6-11-12%287-8%2914%2817%2910-4-2-1-3-9%2810%2913%2811%2916%2Fh1-7H%2C15H2, 17.0, 26.0, 2.67000007629395, 19.0, -1.2775000333786, , 12.0, 0.0, 2.62199997901917, 0.0, 14.9140996932983, 1.0, 1.63200628757477, 0.0, 12.0, 0.0
InChI%3D1S%2FC4H8N2OS%2Fc7-5-6-1-3-8-4-2-6%2Fh1-4H2, 3.0, 16.0, 1.46000003814697, 8.0, 0.52319997549057, , 0.0, 1.0, 0.714999973773956, 0.0, 35.2994003295898, 0.0, 0.273738235235214, 0.0, 0.0, 2.0
InChI%3D1S%2FC11H7N3O3%2Fc15-14%2816%2911-5-4-9%2817-11%298-7-12-10-3-1-2-6-13%288%2910%2Fh1-7H, 17.0, 24.0, 2.00999999046326, 19.0, -0.1875, , 14.0, 2.0, 2.58500003814697, 0.0, 7.40290021896362, 0.0, 0.03515625, 0.0, 15.0, 3.0
InChI%3D1S%2FC6H12N2O%2Fc1-6-4-2-3-5-8%286%297-9%2Fh6H%2C2-5H2%2C1H3%2Ft6-%2Fm0%2Fs1, 3.0, 21.0, 1.78999996185303, 9.0, -0.965300023555756, , 0.0, 1.0, 1.27799999713898, 0.0, 31.4006996154785, 0.0, 0.931804060935974, 0.0, 0.0, 2.0
InChI%3D1S%2FC12H10Cl2N2%2Fc13-9-5-7%281-3-11%289%2915%298-2-4-12%2816%2910%2814%296-8%2Fh1-6H%2C15-16H2, 14.0, 26.0, 2.33999991416931, 17.0, -0.0111999996006489, , 12.0, 1.0, 2.89199995994568, 0.0, 19.6753997802734, 2.0, 0.000125439997646026, 0.0, 12.0, 0.0
InChI%3D1S%2FC6H6%2Fc1-2-4-6-5-3-1%2Fh1-6H, 6.0, 12.0, 2.11999988555908, 6.0, 0.0, , 6.0, 0.0, 4.06199979782104, 0.0, 0.0, 0.0, 0.0, 0.0, 6.0, 0.0
InChI%3D1S%2FC11H11N5%2Fc1-6-5-13-7-3-4-8-10%289%287%2914-6%2915-11%2812%2916%288%292%2Fh3-5H%2C1-2H3%2C%28H2%2C12%2C15%29, 14.0, 27.0, 2.11999988555908, 18.0, 0.0723000019788742, , 10.0, 0.0, 2.33800005912781, 0.0, 22.6289005279541, 2.0, 0.00522729009389877, 0.0, 11.0, 0.0
InChI%3D1S%2FC10H14N5O4%2Fc1-5-3-15%2810%2818%2912-9%285%2917%298-2-6%2813-14-11%297%284-16%2919-8%2Fh3%2C6-8%2C11%2C16H%2C2%2C4H2%2C1H3%2C%28H%2C12%2C17%2C18%29%2Ft6-%2C7%3F%2C8%2B%2Fm0%2Fs1, 4.0, 36.0, 1.57000005245209, 20.0, -4.2487998008728, , 0.0, 3.0, -0.907000005245209, 0.0, 55.6195983886719, 4.0, 18.0523014068604, 0.0, 0.0, 3.0
InChI%3D1S%2FC12H7Cl2NO3%2Fc13-8-1-6-12%2811%2814%297-8%2918-10-4-2-9%283-5-10%2915%2816%2917%2Fh1-7H, 16.0, 25.0, 2.11999988555908, 19.0, 1.2878999710083, , 12.0, 3.0, 4.76300001144409, 0.0, 15.7361001968384, 0.0, 1.65868639945984, 0.0, 12.0, 2.0
InChI%3D1S%2FC6H4N4O3S%2Fc7-6-9-8-5%2814-6%293-1-2-4%2813-3%2910%2811%2912%2Fh1-2H%2C%28H2%2C7%2C9%29, 8.0, 20.0, 1.24000000953674, 15.0, 0.143500000238419, , 5.0, 2.0, 1.38399994373322, 0.0, 27.4755992889404, 3.0, 0.0205922499299049, 0.0, 5.0, 2.0
InChI%3D1S%2FC5H11N3O2%2Fc1-4%282%293-8%287-10%295%286%299%2Fh4H%2C3H2%2C1-2H3%2C%28H2%2C6%2C9%29, 6.0, 21.0, 1.46000003814697, 9.0, 0.907500028610229, , 0.0, 4.0, 0.929000020027161, 0.0, 36.1146011352539, 2.0, 0.823556244373322, 3.0, 0.0, 10.0
InChI%3D1S%2FC16H12ClNO2%2Fc1-2-16%2820-15%2818%2919%2C12-6-4-3-5-7-12%2913-8-10-14%2817%2911-9-13%2Fh1%2C3-11H%2C%28H2%2C18%2C19%29, 6.0, 32.0, 2.77999997138977, 21.0, 1.69350004196167, , 12.0, 4.0, 5.83400011062622, 1.0, 25.5104999542236, 2.0, 2.86794233322144, 3.0, 12.0, 7.0
InChI%3D1S%2FC14H16N2.2ClH%2Fc1-9-7-11%283-5-13%289%2915%2912-4-6-14%2816%2910%282%298-12%3B%3B%2Fh3-8H%2C15-16H2%2C1-2H3%3B2%2A1H, 14.0, 36.0, 2.55999994277954, 17.0, -0.215800002217293, , 12.0, 1.0, 4.36999988555908, 0.0, 19.4484004974365, 2.0, 0.0465696416795254, 0.0, 12.0, 0.0
InChI%3D1S%2FC5H10N2O2%2Fc1-2-3-7%286-9%294-5-8%2Fh2%2C8H%2C1%2C3-5H2, 3.0, 19.0, 1.57000005245209, 8.0, 0.168200001120567, , 0.0, 5.0, -0.368999987840652, 0.0, 35.505500793457, 1.0, 0.0282912403345108, 3.0, 0.0, 9.0
InChI%3D1S%2FC8H15N3O7%2Fc1-11%2810-17%298%2816%299-4-6%2814%295%2813%293%282-12%2918-7%284%2915%2Fh3-7%2C12-15H%2C2H2%2C1H3%2C%28H%2C9%2C16%29%2Ft3%3F%2C4%3F%2C5-%2C6-%2C7%2B%2Fm1%2Fs1, 6.0, 33.0, 1.24000000953674, 18.0, -1.73989999294281, , 0.0, 4.0, -2.33699989318848, 0.0, 56.0966987609863, 5.0, 3.02725195884705, 0.0, 0.0, 7.0
InChI%3D1S%2FC12H26N2O%2Fc1-3-4-5-6-7-8-9-10-11-12-14%282%2913-15%2Fh3-12H2%2C1-2H3, 3.0, 41.0, 2.45000004768372, 14.0, -2.54060006141663, , 0.0, 11.0, 5.05800008773804, 2.0, 51.1691017150879, 0.0, 6.45464849472046, 11.0, 0.0, 15.0
InChI%3D1S%2FC20H16O8%2Fc1-23-10-7-11-13%288-4-5-26-20%288%2927-11%2918-15%2810%2916%2822%2914-9%2821%296-12%2824-2%2917%2825-3%2919%2814%2928-18%2Fh4-8%2C20-21H%2C1-3H3, 20.0, 44.0, 2.77999997138977, 32.0, -1.56889998912811, , 12.0, 3.0, 0.833999991416931, 0.0, 50.2559013366699, 1.0, 2.46144723892212, 0.0, 12.0, 2.0
InChI%3D1S%2FC12H11N3.C2H4O2%2Fc1-7-12-8-4-2-3-5-9%288%2915-10%2812%296-11%2813%2914-7%3B1-2%283%294%2Fh2-6%2C15H%2C1H3%2C%28H2%2C13%2C14%29%3B1H3%2C%28H%2C3%2C4%29, 7.0, 35.0, 2.45000004768372, 20.0, -0.670799970626831, , 6.0, 0.0, , , 35.1880989074707, 3.0, 0.449972629547119, 2.0, 10.0, 4.0
InChI%3D1S%2FC7H7NO%2Fc1-6-4-2-3-5-7%286%298-9%2Fh2-5H%2C1H3, 8.0, 16.0, 2.00999999046326, 9.0, 0.61870002746582, , 6.0, 1.0, 2.65400004386902, 0.0, 6.94500017166138, 0.0, 0.382789701223373, 0.0, 6.0, 2.0
InChI%3D1S%2FC4H9NO2%2Fc1-4%282%293-7-5-6%2Fh4H%2C3H2%2C1-2H3, 3.0, 16.0, 1.57000005245209, 6.0, -1.46490001678467, , 0.0, 3.0, 1.92999994754791, 0.0, 25.7915000915527, 0.0, 2.14593195915222, 3.0, 0.0, 7.0
