SMILES,SCH-4,ATSm3,C1SP3,SCH-5,ATSm4,SCH-6,Zagreb,ATSm5,VP-0,topoShape,VP-1,ATSc1,MDEO-11,SCH-7,VP-2,PetitjeanNumber,ATSc2,Kier1,MDEO-12,MDEN-22,VP-3,ATSc3,Kier2,SP-0,C2SP2,MDEN-23,ATSp1,MDEC-22,VP-4,ATSc4,Kier3,SP-1,C2SP3,ATSp2,MDEC-23,MDEC-44,VP-5,ATSc5,SP-2,MDEC-24,VP-6,SP-3,WPATH,TopoPSA,ATSp3,SP-4,ATSp4,SPC-4,VP-7,SP-5,ATSp5,VC-3,SPC-5,VCH-3,VC-4,SPC-6,SP-6,VC-5,WPOL,SP-7,VCH-4,VC-6,SC-3,VPC-4,MDEO-22,MDEN-11,MDEN-33,MDEC-11,MDEN-12,ECCEN,C3SP2,SC-4,VAdjMat,VCH-5,VPC-5,MDEC-33,MDEC-12,MDEN-13,fragC,C3SP3,SC-5,VCH-6,VPC-6,MDEC-34,MDEC-13,SC-6,VCH-7,MDEC-14,ATSm1,C1SP2,ATSm2,SCH-3
InChI%3D1S%2FC4H9NO%2Fc1-3-4%282%295-6%2Fh6H%2C3H2%2C1-2H3,0.0,5.6644625664,2.0,0.0,4.8303689957,0.0,20.0,1.3320919275,4.1015338898,1.0,1.9842669964,0.0238622297,0.0,0.0,1.1888275146,0.5,0.0060373195,6.0,0.0,0.0,0.6823779345,-0.0113967173,3.2000000477,4.991563797,1.0,0.0,184.6554260254,0.0,0.0707106814,-0.0061677848,3.0,2.8080604076,1.0,168.2994689941,1.0,0.0,0.0,-0.0004039325,1.9216682911,0.0,0.0,1.3938468695,31.0,32.5900001526,157.3880462646,0.2886751294,99.6364746094,0.5773502588,0.0,0.0,19.2929401398,0.1581138819,0.2886751294,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2886751294,0.2288245559,0.0,0.0,0.0,0.3333333433,0.0,29.0,0.0,0.0,3.5849626064,0.0,0.0707106814,0.0,1.4142135382,0.0,166.0200042725,0.0,0.0,0.0,0.0,0.0,1.4142135382,0.0,0.0,0.0,7.1344571114,0.0,5.7196512222,0.0
InChI%3D1S%2FC6H6N6O%2Fc1-12%2811-13%296-4-5%288-2-7-4%299-3-10-6%2Fh2-3H%2C1H3%2C%28H%2C7%2C8%2C9%2C10%29,0.0,22.3229007721,2.0,0.1178511307,21.5998039246,0.2194160968,66.0,18.3226222992,6.7462306023,1.0,3.4806172848,0.32803002,0.0,0.3299430609,2.3484146595,0.5,-0.2498408109,9.5510206223,0.0,3.2088441849,1.5794998407,0.1561488807,4.0221605301,9.2591485977,0.0,2.0068538189,612.4014892578,0.25,0.9872499108,-0.095377773,1.7751479149,6.3256983757,1.0,715.2473144531,2.6207413673,0.0,0.5210130811,0.0489175059,5.3351283073,0.0,0.2347571254,4.7550392151,229.0,84.2300033569,982.3630981445,3.8266673088,847.903503418,1.9550230503,0.1100080237,2.7247388363,611.0117797852,0.2559016943,3.1979064941,0.0,0.0,4.0520381927,1.7003419399,0.0447213612,18.0,1.087600708,0.0,0.0,0.67453444,0.5215056539,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,4.70043993,0.0288675129,0.6356381774,2.3811016083,0.4472135901,0.0,205.0700073242,0.0,0.2198219895,0.041777458,0.5873627067,0.0,1.0400419235,0.0,0.0461833924,0.0,15.9343976974,0.0,16.5753059387,0.0
InChI%3D1S%2FC17H13N3O3%2Fc1-11-6-8-14%2815%2810-11%2920%2822%2923%2918-19-17-13-5-3-2-4-12%2813%297-9-16%2817%2921%2Fh2-10%2C18H%2C1H3,0.0,38.4323196411,1.0,0.0,41.7340431213,0.2069302648,120.0,37.8409767151,12.3153247833,0.8333333135,6.9661607742,0.2740235925,0.5952754021,0.4358823895,5.1347613335,0.4545454681,-0.0079086833,17.8111991882,0.0,1.0,3.5016577244,-0.1481829882,7.9200000763,16.3969764709,4.0,0.5773502588,1460.6409912109,8.9295759201,2.3538477421,-0.0568680018,4.1587901115,11.0585508347,9.0,1714.1809082031,17.8824920654,0.0,1.6073850393,0.0794850513,10.0904054642,0.0,0.7715437412,8.2789011002,1204.0,87.2799987793,2375.431640625,6.8390674591,2406.9816894531,3.6778919697,0.4098382294,5.7804174423,1914.2624511719,0.6109823585,5.6919064522,0.0,0.0,8.2508716583,3.5574526787,0.0827620327,37.0,2.4878969193,0.0,0.0,1.5992923975,1.1345865726,0.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,5.5235619545,0.0,1.4249060154,6.7234773636,1.4901704788,0.0,938.0599975586,3.0,0.4239461422,0.0726673752,1.6287670135,0.0,1.4991840124,0.0,0.1186474562,0.0,26.4033718109,0.0,27.2975673676,0.0
InChI%3D1S%2FC2H4Cl2O%2Fc3-1-5-2-4%2Fh1-2H2,0.0,8.8639717102,0.0,0.0,5.9034748077,0.0,14.0,8.7127532959,4.0902485847,1.0,2.1809177399,0.281298548,0.0,0.0,0.8587778211,0.5,-0.2410930246,5.0,0.0,0.0,0.4629100561,0.1539126784,4.0,4.1213202477,0.0,0.0,156.4429779053,0.5,0.2624453306,-0.0687064454,4.0,2.4142136574,0.0,131.628326416,0.0,0.0,0.0,0.0152375204,1.3535534143,0.0,0.0,0.7071067691,20.0,9.2299995422,94.4086608887,0.3535533845,58.8737564087,0.0,0.0,0.0,22.8639373779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.3219280243,0.0,0.0,0.0,0.0,0.0,44.0299987793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1999759674,0.0,8.5676584244,0.0
InChI%3D1S%2FC16H15NO2%2Fc17-15-11-5-4-10-14%2815%2916%2818%2919-12-6-9-13-7-2-1-3-8-13%2Fh1-11H%2C12%2C17H2,0.0,27.1031150818,1.0,0.0,26.4911079407,0.1853954047,90.0,22.265668869,10.4518070221,1.0,6.0038890839,0.3046892583,0.0,0.2036146373,3.9987647533,0.5,-0.1769445539,15.3900003433,0.5,0.0,2.6012301445,0.0802422836,8.3232002258,13.501789093,2.0,0.0,1051.7412109375,15.8097629547,1.6327972412,-0.1110362187,5.1199998856,9.2708568573,10.0,1156.2889404297,12.5101585388,0.0,0.9848979115,0.070543915,7.6913723946,0.0,0.3930911422,6.155310154,850.0,52.3199996948,1424.0928955078,4.7795214653,1304.2425537109,1.9326856136,0.2028493881,3.4178619385,973.3929443359,0.2933938205,2.9057762623,0.0,0.0,3.3189857006,1.7371073961,0.0360843912,24.0,1.1247640848,0.0,0.0,0.811611414,0.562836349,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,5.2479276657,0.0,0.646886766,2.1925172806,0.0,0.0,883.0300292969,2.0,0.1924500912,0.0598527938,0.5927032232,0.0,0.0,0.0,0.0484449156,0.0,20.9089260101,1.0,21.1624603271,0.0
InChI%3D1S%2FC24H34O9%2Fc1-12%282%297-18%2827%2932-16-9-23%2810-29-14%284%2925%2917%288-13%2816%293%2933-21-19%2828%2920%2831-15%285%2926%2922%2823%2C6%2924%2821%2911-30-24%2Fh8%2C12%2C16-17%2C19-21%2C28H%2C7%2C9-11H2%2C1-6H3,0.2693375647,63.6331558228,8.0,0.0481125228,79.289894104,0.7414812446,188.0,83.724822998,20.0830783844,1.0,11.5360136032,1.2561860085,0.7368062735,2.0484364033,10.5061006546,0.5,-0.612041235,26.0740737915,3.9010570049,0.0,7.8575611115,0.035343118,9.1414985657,24.3445701599,1.0,0.0,2486.2009277344,2.4318492413,6.1827521324,-0.0454044379,4.0816326141,15.3753709793,7.0,3155.8564453125,13.6559495926,2.3811016083,4.6907110214,-0.0120392255,15.7290410995,5.9378919601,3.2743191719,12.2074098587,2739.0,120.8899993896,5007.6279296875,11.0298662186,6044.2495117188,8.6565752029,2.1072721481,9.4561729431,5482.3481445313,2.4498262405,16.0904636383,0.1443375647,0.1860042363,27.0218086243,7.3680968285,1.0761104822,68.0,5.5775361061,0.1555021107,0.3616601527,3.921046257,5.5102458,2.1699595451,0.0,0.0,1.9750472307,0.0,658.0,1.0,0.2165063471,6.0443940163,0.0481125228,9.0344905853,10.6722364426,5.765917778,0.0,3844.0900878906,2.0,1.6169214249,0.4195298254,13.1152296066,9.8876695633,11.6616764069,0.4821986556,1.0144814253,3.7968497276,39.9702224731,3.0,40.6492881775,0.25
InChI%3D1S%2FC34H59NO15%2Fc1-5-6-9-20%283%2932%2850-31%2844%2917-23%2834%2847%2948%2915-29%2841%2942%2927%2849-30%2843%2916-22%2833%2845%2946%2914-28%2839%2940%2913-19%282%2912-24%2836%2910-7-8-11-25%2837%2918-26%2838%2921%284%2935%2Fh19-27%2C32%2C36-38H%2C5-18%2C35H2%2C1-4H3%2C%28H%2C39%2C40%29%28H%2C41%2C42%29%28H%2C45%2C46%29%28H%2C47%2C48%29,0.0,76.2852096558,4.0,0.0,78.124786377,0.0,226.0,91.8885192871,29.6468296051,0.9090909362,17.3447036743,1.5874223709,7.8836121559,0.0,13.6074419022,0.4761904776,-0.6847774386,50.0,3.9277005196,0.0,8.6116018295,0.2175321877,27.5625,38.5513114929,0.0,0.0,2751.7419433594,14.2584552765,5.6787962914,0.1760668904,24.1229667664,23.2619419098,20.0,3028.3022460938,35.7020988464,0.0,3.6017143726,-1.2608356476,21.492269516,0.0,2.1379857063,13.6391639709,11054.0,288.5100097656,3817.1281738281,10.2030916214,4121.736328125,6.7631525993,1.3685033321,7.8028335571,4517.7622070313,1.8962630033,8.4497003555,0.0,0.0,12.2703666687,4.3334169388,0.1917987019,67.0,2.8762583733,0.0,0.0,4.3673596382,2.8680875301,0.3333333433,0.0,0.0,0.6015173197,0.0,1620.0,0.0,0.0,6.6438560486,0.0,3.3317873478,18.2536315918,7.7853565216,0.0,9214.16015625,4.0,0.7333019972,0.0,3.6567285061,0.0,8.4389162064,0.0,0.0,0.0,61.9770240784,6.0,54.8117485046,0.0
InChI%3D1S%2FC24H51O4P%2Fc1-7-13-16-22%2810-4%2919-26-29%2825%2C27-20-23%2811-5%2917-14-8-2%2928-21-24%2812-6%2918-15-9-3%2Fh22-24H%2C7-21H2%2C1-6H3,0.0,43.3796081543,9.0,0.0,45.7178993225,0.0,122.0,50.4544181824,20.6428012848,1.0,12.8788938522,0.5498309135,0.0,0.0,9.0019006729,0.5,-0.5802303553,29.0,1.5,0.0,6.3843817711,0.5863626599,18.7438011169,21.9599723816,0.0,0.0,1430.3217773438,18.7768611908,3.7476892471,-0.3153490722,14.6049385071,13.9775352478,12.0,1483.7611083984,10.8426628113,0.0,2.6558775902,0.0089264279,10.6761922836,0.0,1.5544799566,8.0982456207,2560.0,54.5699996948,1694.0290527344,5.1689128876,1778.6087646484,2.91405797,0.6560195088,4.0393276215,1780.4139404297,0.7950379848,3.5389480591,0.0,0.0186432246,3.8490877151,2.8915560246,0.0,36.0,1.3989385366,0.0,0.0,1.5391491652,1.5860042572,1.5,0.0,0.0,1.4439857006,0.0,588.0,0.0,0.1767766923,5.857981205,0.0,1.6781010628,0.5,13.7463846207,0.0,5429.0498046875,3.0,0.0,0.0,1.6476206779,0.0,2.9538891315,0.0,0.0,0.0,37.7482910156,0.0,38.7372817993,0.0
InChI%3D1S%2FC20H14O4%2Fc21-15-9-5-13%286-10-15%2920%2814-7-11-16%2822%2912-8-14%2918-4-2-1-3-17%2818%2919%2823%2924-20%2Fh1-12%2C21-22H,0.0,43.7632980347,0.0,0.0680413842,48.3171958923,0.4928338528,134.0,47.9851036072,12.6391267776,1.0,7.5296707153,0.4093694985,0.3481191695,0.8615363836,5.7100377083,0.5,-0.1951868236,17.41563797,0.7211247683,0.0,4.3197255135,0.0368504189,6.9574999809,16.7338409424,0.0,0.0,1788.5528564453,17.036687851,3.2049202919,-0.0097074416,3.0214030743,11.6090278625,14.0,2205.1481933594,25.519695282,0.0,2.3255710602,-0.0202386007,10.7621765137,4.6240210533,1.3322511911,9.4680528641,1164.0,66.7600021362,3354.7026367188,8.2356071472,3632.486328125,4.6990289688,0.8251720667,7.2946510315,3387.5837402344,0.7173352242,8.4784049988,0.0,0.0255155191,13.1987810135,5.1514935493,0.1900744885,44.0,3.7524895668,0.0,0.0243760403,1.805439949,1.6982836723,0.0,0.0,0.0,0.0,0.0,394.0,0.0,0.0680413842,5.584962368,0.0255155191,2.6516456604,6.3708763123,0.0,0.0,1129.0400390625,5.0,0.6117736101,0.1487282962,3.3612046242,3.864313364,0.0,0.0958191603,0.1936655194,0.0,27.0978755951,1.0,28.6604595184,0.0
InChI%3D1S%2FC6Cl5NO2%2Fc7-1-2%288%294%2810%296%2812%2813%2914%295%2811%293%281%299,0.0,42.2883987427,0.0,0.0,81.9136734009,0.0370370373,70.0,78.7167434692,9.9331769943,0.5,4.9234886169,0.3357808888,0.5,0.2065685242,4.0654501915,0.3333333433,0.0435268618,12.071428299,0.0,0.0,3.6260049343,-0.1248009577,4.2448978424,11.0414514542,0.0,0.0,1083.0467529297,0.0,2.0200221539,-0.1721224487,2.0204081535,6.3747854233,6.0,1269.2523193359,0.0,0.0,1.0100110769,-0.0420219637,6.1169509888,0.0,0.4581305385,5.3014235497,268.0,45.8199996948,1798.4514160156,3.830578804,1833.3361816406,3.830578804,0.1334921271,2.2115857601,1116.6455078125,0.8018528819,6.0276346207,0.0,0.0,8.4477357864,1.1485595703,0.3941320777,25.0,0.4245963693,0.0,0.0,1.4066948891,2.386756897,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,4.8073549271,0.0,3.1885735989,9.1254653931,0.0,0.0,14.0799999237,0.0,0.6838555932,0.015625,4.0678305626,0.0,0.0,0.0,0.0955731347,0.0,54.472694397,0.0,25.0318050385,0.0
InChI%3D1S%2FC2H6N2O%2Fc1-4%283%292-5%2Fh2H%2C3H2%2C1H3,0.0,4.8858366013,0.0,0.0,2.8855578899,0.0,16.0,0.0,3.0101623535,0.5,1.1993136406,0.1951657385,0.0,0.0,0.7708782554,0.3333333433,-0.1306355745,5.0,0.0,0.0,0.1662673205,0.0570457205,2.25,4.2844572067,0.0,0.0,117.6208496094,0.0,0.0,-0.0239930078,4.0,2.2700555325,0.0,103.5908432007,0.0,0.0,0.0,0.0,1.8020951748,0.0,0.0,0.8164966106,18.0,46.3300018311,90.3245773315,0.0,32.3028564453,0.4082483053,0.0,0.0,0.0,0.1490712017,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4082483053,0.0608580634,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.3219280243,0.0,0.0,0.0,0.5,1.0,80.0299987793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4944453239,0.0,5.0244503021,0.0
